2018-05-07 15:52:37,800 (7f47faffd700) :  INFO (__init__:179) - freebase/proxy hash lookup failed: HTTP Error 404: Not Found
2018-05-07 15:52:37,801 (7f47faffd700) :  INFO (__init__:183) - Scoring {}
2018-05-07 15:52:37,803 (7f47faffd700) :  INFO (__init__:454) - ---- HASH RESULTS MAP ----
2018-05-07 15:52:37,804 (7f47faffd700) :  INFO (__init__:455) - {}
2018-05-07 15:52:37,807 (7f47faffd700) :  INFO (__init__:152) - checking title/year search vector: https://meta.plex.tv/movie/guid/98/98311619b6f9069ec930f46c34002caae4afa74e.xml
2018-05-07 15:52:37,808 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'https://meta.plex.tv/movie/guid/98/98311619b6f9069ec930f46c34002caae4afa74e.xml'
2018-05-07 15:52:37,984 (7f47faffd700) :  INFO (__init__:183) - Scoring {'tt1119646': [0, u'Movies', u'0', 7, 5871, 0], 'tt0110357': [0, u'Movies', u'0', 25, 20812, 0], 'tt1333125': [0, u'Movies', u'0', 1, 1351, 0], 'tt0499549': [0, u'Movies', u'0', 5, 4750, 0], 'tt1099212': [0, u'Movies', u'0', 7, 5838, 0], 'tt0175142': [0, u'Movies', u'0', 1, 1603, 0], 'tt1408101': [0, u'Movies', u'0', 1, 1238, 0], 'tt0462538': [0, u'Movies', u'0', 4, 3643, 0], 'tt0078346': [0, u'Movies', u'0', 1, 1054, 0], 'tt1490017': [0, u'Movies', u'0', 12, 10063, 0], 'tt1595842': [0, u'Movies', u'0', 6, 5696, 0], 'tt0317219': [0, u'Movies', u'0', 1, 1522, 0], 'tt0119282': [0, u'Movies', u'0', 1, 966, 0]}
2018-05-07 15:52:37,985 (7f47faffd700) :  INFO (__init__:486) - ---- TITLE_YEAR RESULTS MAP ----
2018-05-07 15:52:37,985 (7f47faffd700) :  INFO (__init__:487) - {'tt1119646': [0, u'Movies', u'0', 7, 5871, 81], 'tt0110357': [0, u'Movies', u'0', 25, 20812, 85], 'tt1333125': [0, u'Movies', u'0', 1, 1351, 80], 'tt0499549': [0, u'Movies', u'0', 5, 4750, 81], 'tt1099212': [0, u'Movies', u'0', 7, 5838, 81], 'tt0175142': [0, u'Movies', u'0', 1, 1603, 80], 'tt1408101': [0, u'Movies', u'0', 1, 1238, 80], 'tt0462538': [0, u'Movies', u'0', 4, 3643, 80], 'tt0078346': [0, u'Movies', u'0', 1, 1054, 80], 'tt1490017': [0, u'Movies', u'0', 12, 10063, 82], 'tt1595842': [0, u'Movies', u'0', 6, 5696, 81], 'tt0317219': [0, u'Movies', u'0', 1, 1522, 80], 'tt0119282': [0, u'Movies', u'0', 1, 966, 80]}
2018-05-07 15:52:37,986 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=7
